filename,date_obs,mjd_obs,exptime,band,zp,fwhm,seeing,mag_lim_global,flux,flux_err,mag,mag_err,mag_min,mag_max,mag_lim_aper
vcoadd_TDE2022fpx_250530_g.fits,2025-05-30T22:19:30,60825.93021026,540.0,g,29.95672035,4.13,0.83,24.00358,26139.928728921055,80.19272655843827,18.91345935216781,0.00333084866013554,18.910133602312552,18.916795320531907,24.003579763774162
vcoadd_TDE2022fpx_250530_i.fits,2025-05-30T22:12:50,60825.92558219,540.0,i,30.00758876,4.68,0.94,23.3522,50221.23552911532,153.12119799633987,18.255370277743697,0.00331033728320329,18.252064976725077,18.258685671806848,23.35219732745519
vcoadd_TDE2022fpx_250530_H.fits,2025-05-30T22:19:45,60825.93038239,509.2152,H,31.357318890828928,3.91,0.98,21.202465330828925,342208.62089610694,3844.3355343415265,17.521591525679693,0.012197045948003667,17.50946248108909,17.533857599244072,21.202462539138942
vcoadd_TDE2022fpx_250530_K.fits,2025-05-30T22:13:05,60825.9257527,509.2152,K,31.621240680130676,4.06,1.02,19.676764700130676,819061.4463527766,19983.30763809111,16.837949470262817,0.02648958840647259,16.811777864194482,16.864767556772602,19.67676910762054
